Column1,Интент,Текст,Число,Размерность,Ответ
125,weight,Грамм 200,200.0,грамм,1
126,acc,1800 mah,1800.0,миллиампер,1
127,acc,Разряжается за несколько часов,-,-,0
128,acc,3320,3320.0,миллиампер,1
129,acc,3600 мА,3600.0,миллиампер,1
130,acc,Очень большая по сравнению с обычными телефонами. ,-,-,0
131,acc,2 часа,2.0,час,1
132,acc,4000 мАч,4000.0,миллиампер,1
133,acc,9600 mh,9600.0,миллиампер,1
134,acc,примерно 4500 мач,4500.0,миллиампер,1
135,acc,-,-,-,0
136,acc,"не знаю, но сутки в рабочем режиме держит",-,-,0
137,acc,4000,4000.0,миллиампер,1
138,acc,Без понятия,-,-,0
139,acc,1600mah,-,-,0
140,acc,2716 Мач,2716.0,миллиампер,1
141,acc,Зарадки хватает на целый день,-,-,0
142,acc,3200 mA/h,3200.0,миллиампер,1
143,acc,Емкость аккумулятора моего телефона составляет примерно 2650 мАч,2650.0,миллиампер,1
144,acc,Вроде бы 400 мАч,400.0,миллиампер,1
145,acc,3600мАч,3600.0,миллиампер,0
146,acc,Хватает на день с трудом ,-,-,0
147,sim,1,1.0,симкарта,1
148,sim,Одну,1.0,симкарта,0
149,sim,2,2.0,симкарта,1
150,sim,В него можно вставить 2 симкарты,2.0,симкарта,1
151,sim,Одну,1.0,симкарта,0
152,sim,2,2.0,симкарта,1
153,sim,2,2.0,симкарта,1
154,sim,4,4.0,симкарта,1
155,sim,2,2.0,симкарта,1
156,sim,1,1.0,симкарта,1
157,sim,1,1.0,симкарта,1
158,sim,2,2.0,симкарта,1
159,sim,1,1.0,симкарта,1
160,sim,1,1.0,симкарта,1
161,sim,1,1.0,симкарта,1
162,sim,одну,1.0,симкарта,0
163,sim,2 ,2.0,симкарта,1
164,sim,Мой телефон поддерживает лишь 1 симкарту ,1.0,симкарта,1
165,sim,2,2.0,симкарта,1
166,sim,1,1.0,симкарта,1
167,sim,Две ,2.0,симкарта,0
